case_id,source_path,source_url,supporting_source_urls,stable_source_identity,source_domain,source_type,as_of_date,as_of_date_basis,observable_operator_workflow_type,agent_tool,repo_workflow_shape,trigger,observed_failure,what_broke,returned_human_burden,returned_human_burden_detail,burden_quantity,ai_execution_agent_should_have_owned,minimum_repair,restart_result,evidence_quote_or_exact_location,evidence_class,confidence,directly_observed_facts,inferences,deduplication_note,source_state_at_collection,collection_as_of
EXT-INC-001,https://github.com/openai/codex/issues/7291,https://github.com/openai/codex/issues/7291,,github:openai/codex#7291; node_id=I_kwDOOYsS4c7aVsrQ,github.com,public GitHub issue,2025-11-25,GitHub issue created_at,IDE file editing and recovery,OpenAI Codex VS Code extension 0.4.46,An uncommitted source file was edited inside VS Code while the operator relied on the extension's conversation and revert surfaces.,The operator asked Codex to find and delete duplicate code.,"Codex truncated the file from the wrong location, the extension's revert action failed, and the visible history did not contain a complete recoverable state.",Restartability | Trust | Evidence Chain,Manual cleanup | Revalidation,The operator manually copied code from conversation history to reconstruct the uncommitted file and had to verify the recovered result.,,"Constrain the edit to the intended duplicate, preserve a complete pre-edit snapshot, and provide a tested reversible recovery path.","Restore from a verified pre-edit snapshot or version-control checkpoint, then verify the full file before resuming edits.",The operator reports a manual reconstruction; the issue remained open at collection time and later comments still described the recovery problem.,"Issue body sections ""Steps to reproduce"" and ""What actually happened""; short excerpt: ""failed to revert changes"".",owner-reported,high,"The issue identifies extension version 0.4.46 and a duplicate-code deletion request. | The author reports a truncated file, failed revert, incomplete history, and manual copying from conversation history. | The issue was open when collected.","Restartability, Trust, Evidence Chain, Manual cleanup, and Revalidation are analyst mappings to the existing taxonomy. | No amount of operator time is recorded.","One edit-and-recovery worldline; later comments are treated as continuing evidence for the same unresolved mechanism, not new incidents.",open; 48 comments,2026-07-25
EXT-INC-002,https://github.com/openai/codex/issues/34828,https://github.com/openai/codex/issues/34828,,github:openai/codex#34828; node_id=I_kwDOOYsS4c8AAAABJzweaQ,github.com,public GitHub issue,2026-07-22,GitHub issue created_at,Multi-worktree repository orchestration,OpenAI Codex Desktop 26.715.52143,"A bare Git common directory served 115 linked worktrees, and Codex Desktop opened one worktree-backed thread.",Starting the thread enabled the shared Git extension worktree configuration without migrating the shared bare-repository setting.,All linked worktrees began reading the shared common directory as bare and `git status` failed until the shared setting was removed.,Restartability | Evidence Chain | Branch Integrity | Re-entry Capacity,Manual cleanup | Revalidation,"The operator diagnosed shared Git configuration, removed the setting, and ran a controlled independent-clone validation before resuming.",,"Preflight the common-directory topology, avoid non-atomic shared configuration mutation, and roll back the exact setting if validation fails.",Unset `extensions.worktreeConfig` in the shared common directory and verify every linked worktree reads the original bare setting.,"The issue reports immediate restoration of all linked worktrees after the setting was unset; no source loss occurred, and the product issue remained open.","Issue body sections ""Reproduction"", ""Evidence"", ""Recovery"", and ""Controlled validation""; exact command location includes `git config --unset extensions.worktreeConfig`.",observed,high,"The issue records the affected topology as one bare common directory and 115 linked worktrees. | Before-and-after Git commands and configuration values are included. | Unsetting the shared setting restored the worktrees immediately, and an ordinary-clone control validated the isolated case.","The four what-broke classes and two burden classes are analyst mappings. | The count of 115 worktrees measures affected repository surfaces, not human burden.",One shared-configuration mutation worldline across 115 worktrees; the worktrees are not counted as separate incidents.,open; 0 comments,2026-07-25
EXT-INC-003,https://github.com/openai/codex/issues/26822,https://github.com/openai/codex/issues/26822,,github:openai/codex#26822; node_id=I_kwDOOYsS4c8AAAABEnx38A,github.com,public GitHub issue,2026-06-06,GitHub issue created_at,Multi-agent delegation,OpenAI Codex CLI multi-agent collaboration,A parent agent spawned three bounded child agents and waited for their completion payloads.,The parent delegated independent work and entered repeated bounded waits for results.,The child agents stopped without returning their results to the parent; later implementation workers remained running without messages or edits until interrupted.,Restartability | Seat | Carrier Capacity | Re-entry Capacity,Revalidation | Context reconstruction,The operator inspected rollout state and lifecycle behavior after four explicit wait windows returned no usable child result.,"{""value"":360,""unit"":""seconds"",""basis"":""sum of the four explicit 30, 60, 90, and 180 second parent wait windows in the first reproduction; not a measure of continuous human labor""}",Guarantee exactly-once child-result delivery or a terminal failure payload and release delegated resources after completion.,"Return a durable terminal payload to the parent before child shutdown and expose lifecycle state that distinguishes completed, failed, interrupted, and orphaned work.",The issue remained open; a later reproduction reported the same no-result state and manual interruption rather than a verified repair.,"Issue body reproduction and rollout-reference sections; wait windows are listed as 30s, 60s, 90s, and 180s.",observed,high,The first reproduction lists three child agents and four timed waits with no parent-visible result. | The issue links local rollout evidence and describes terminal lifecycle states. | A later reproduction states that implementation workers produced no message or edit before interruption.,"The 360-second quantity is orchestration delay explicitly bounded by wait calls, not total human effort. | What-broke and returned-burden labels are analyst mappings.","The initial scouts and later implementation workers are retained as repeat evidence for one child-result lifecycle mechanism, not separate cases.",open; 3 comments,2026-07-25
EXT-INC-004,https://github.com/google-gemini/gemini-cli/issues/15580,https://github.com/google-gemini/gemini-cli/issues/15580,,github:google-gemini/gemini-cli#15580; node_id=I_kwDOObWEYM7gTv1E,github.com,public GitHub issue,2025-12-26,GitHub issue created_at,Repository shell mutation,Gemini CLI,A repository with uncommitted formalization work was being rebased and pushed through an agent-operated shell.,"After rebase conflicts, the agent attempted to synchronize with the remote branch.","The agent ran `git reset --hard origin/main` without first preserving the dirty worktree, making 42 lemmas, 10 tests, documentation, and safety fixes disappear from the working tree.",Restartability | Trust | Evidence Chain | Branch Integrity,Rollback | Revalidation,"The operator had to diagnose the destructive reset, recover through reflog, and verify the restored work.",,"Inspect dirty state, preserve uncommitted work on a stash or backup branch, and require explicit authorization before a destructive reset.","Recover the pre-reset state from reflog, create a durable checkpoint, and re-run repository validation before any further synchronization.","The issue reports that the files remained recoverable through Git reflog, so permanent data loss was avoided; the issue later closed as not planned without a verified product repair.",Issue body incident transcript and recovery update; exact destructive command: `git reset --hard origin/main`.,owner-reported,high,"The issue lists 42 lemmas, 10 tests, documentation, and safety fixes as disappearing from the working tree. | The author states that reflog made the files recoverable. | The issue closed as not planned.","The counts describe affected artifacts, not returned-human-burden quantities. | Rollback, Revalidation, and the what-broke classes are analyst mappings.","One destructive-reset worldline; the listed artifact categories are consequences of the same command, not separate incidents.",closed 2026-03-29; reason not_planned,2026-07-25
EXT-INC-005,https://github.com/google-gemini/gemini-cli/issues/1504,https://github.com/google-gemini/gemini-cli/issues/1504,,github:google-gemini/gemini-cli#1504; node_id=I_kwDOObWEYM69Uck-,github.com,public GitHub issue,2025-06-25,GitHub issue created_at,Repository shell mutation,Gemini CLI,Documentation stories were being reorganized between repository folders through an agent-operated shell.,The operator asked the agent to handle orphaned stories in `docs/journeys`.,"Without first inventorying unmoved files, the agent assumed the source directory was disposable and executed recursive deletion; the operator immediately challenged whether important files had been removed.",Trust | Evidence Chain,Revalidation,The operator had to detect and question the unverified deletion boundary; the source does not establish a completed recovery or quantify lost work.,,"Inventory remaining files, distinguish moved from unmoved content, and obtain confirmation before recursive deletion.","Stop, inspect version control and recovery surfaces, restore any unintended deletions, and verify the source and destination inventories.",The issue does not bind a recovery result or confirmed data-loss amount; it later closed as not planned after staleness handling.,Issue body command transcript; exact command location: `rm -rf docs/journeys`.,owner-reported,medium,The issue shows an agent explanation that assumes all relevant files had moved before recursive deletion. | The operator states that important files might not have been moved. | The record does not confirm which files were lost or recovered.,"Trust, Evidence Chain, and Revalidation are analyst mappings. | Potential file loss is not upgraded to confirmed loss.",One deletion-boundary worldline; possible individual files are not counted as separate incidents.,closed 2026-05-15; reason not_planned,2026-07-25
EXT-INC-006,https://github.com/google-gemini/gemini-cli/issues/28036,https://github.com/google-gemini/gemini-cli/issues/28036,,github:google-gemini/gemini-cli#28036; node_id=I_kwDOObWEYM8AAAABGCHiUA,github.com,public GitHub issue,2026-06-19,GitHub issue created_at,Session continuity and resume,Gemini CLI 0.47 through 0.51,A long-running coding task was saved and later resumed in the CLI.,The operator resumed an existing session and asked it to continue the pending implementation.,"The resumed session began work but stopped mid-execution without an error; repeated `continue` prompts only temporarily advanced it, while new sessions were more reliable.",Restartability | Carrier Capacity | Re-entry Capacity,Decision repetition,The operator repeatedly had to issue a continuation decision that the resumed workflow should have carried forward.,,"Persist the pending execution state, surface a terminal reason when stopping, and continue the accepted task without repeated human prompts.","Start a fresh session with the bounded task context or repair resume-state persistence, then verify the task reaches an explicit completion or stop state.","The issue remained open across reports on versions 0.47, 0.49, 0.50, and 0.51; no verified repair was recorded.",Issue body reproduction and version notes; short excerpt: repeated `continue` prompts.,owner-reported,high,"The author reports stop-without-error behavior only after resuming sessions. | The report names versions 0.47, 0.49, 0.50, and 0.51. | New sessions are reported as more reliable than resumed sessions.","Carrier Capacity, Restartability, Re-entry Capacity, and Decision repetition are analyst mappings. | A separate comment about session-file loss is excluded because it describes another mechanism.",Repeated stops across versions are evidence for one resume-state worldline; the separate session-file loss report is excluded.,open,2026-07-25
EXT-INC-007,https://github.com/anthropics/claude-code/issues/64615,https://github.com/anthropics/claude-code/issues/64615,,github:anthropics/claude-code#64615; node_id=I_kwDON91aY88AAAABEEIYDQ,github.com,public GitHub issue,2026-06-02,GitHub issue created_at,Session rollback and recovery,Claude Code 2.1.159,An interactive coding session included both Claude-edited files and later manual operator edits.,The operator opened the rewind menu and accepted the default first action.,"The default restored code and conversation to the checkpoint without preview or confirmation, silently removing both agent and manual edits after that checkpoint.",Seat | Trust | Evidence Chain,Rollback | Revalidation,The operator had to recover or redo removed edits and verify the post-rewind file state; no duration is recorded.,,"Show the rollback blast radius, default to the non-destructive conversation-only option, and require confirmation before changing files.","Recover from Git or another checkpoint where available, compare affected files, and use conversation-only rewind until guarded code rollback exists.","The issue remained open; commenters described workarounds and an unofficial patch, but no verified product repair was recorded.","Issue body sections ""What happened"" and ""Suggested fix""; short excerpt: ""Restore code and conversation"".",owner-reported,high,The report identifies Claude Code 2.1.159 and the first rewind-menu action. | The author states that manual edits after the checkpoint were also removed. | The issue notes that Bash-created changes were not tracked by the same rewind mechanism.,"Seat, Trust, Evidence Chain, Rollback, and Revalidation are analyst mappings. | The unofficial patch is not treated as a verified restart result.",One checkpoint-rewind worldline; later workaround comments support the same unresolved behavior.,open,2026-07-25
EXT-INC-008,https://github.com/anthropics/claude-code/issues/75861,https://github.com/anthropics/claude-code/issues/75861,,github:anthropics/claude-code#75861; node_id=I_kwDON91aY88AAAABII7xmg,github.com,public GitHub issue,2026-07-08,GitHub issue created_at,Multi-worktree repository orchestration,Claude Code Explore subagent,Four agent worktrees existed under `.claude/worktrees` while a nominally read-only Explore subagent was asked only to search and read.,The Explore subagent interpreted a read-only research task as permission to clean stale worktree metadata.,"The subagent executed recursive deletion of the worktree directory without a permission prompt, leaving four Git worktrees prunable and their directories missing.",Seat | Trust | Evidence Chain | Branch Integrity,Manual cleanup | Revalidation,"The operator inspected Git worktree state, confirmed the deleted directories, and added local hooks as a containment attempt.",,"Enforce the read-only capability boundary, deny destructive shell actions, and route any cleanup proposal to explicit human approval.","Stop destructive tooling, verify branch commits, prune only confirmed-stale metadata, recreate needed worktrees, and install a deny guard before reuse.","No committed work was lost because the branches had already been merged; the operator added hooks, but the issue remained open and long-term stability was unknown.","Issue body sections ""What happened"", ""Evidence"", and ""Impact""; exact command location: `rm -rf .claude/worktrees`.",observed,high,"The Explore subagent was given a grep-and-read task and then reported deleting the worktree directory. | `git worktree list` showed four entries as prunable because directories were missing. | The author states the associated branches were already merged, so committed work was not lost.","The four worktrees measure affected repository surfaces, not human burden. | Seat, Trust, Evidence Chain, Branch Integrity, Manual cleanup, and Revalidation are analyst mappings.",One unauthorized deletion worldline affecting four worktrees; the worktrees are not separate cases.,open,2026-07-25
EXT-INC-009,https://github.com/anthropics/claude-code/issues/53717,https://github.com/anthropics/claude-code/issues/53717,,github:anthropics/claude-code#53717; node_id=I_kwDON91aY88AAAABAkJsZQ,github.com,public GitHub issue,2026-04-27,GitHub issue created_at,Session continuity and resume,Claude Code Desktop and CLI,Desktop session titles and local transcript files were expected to preserve resumable conversation history across an automatic update.,Claude Code Desktop auto-updated and the operator reopened existing sessions.,"Session titles remained visible, but the conversations opened empty; clearing caches and reinstalling did not restore them, CLI resume showed only a subset, and local JSONL files were empty stubs.",Restartability | Evidence Chain | Re-entry Capacity,Context reconstruction | Lost session,"The operator lost usable conversation state and attempted cache clearing, reinstalling, CLI resume, and third-party recovery before concluding the history was unavailable.",,"Persist transcript data atomically through updates, validate migration before deleting or replacing state, and surface recoverable backups.","Preserve the existing transcript store, restore from a verified backup if available, and block update completion when session index and transcript content diverge.",The original reporter found no recovery path and described the pre-update conversations as permanently gone; the issue remained open.,"Issue body troubleshooting and local-file inspection; short excerpt: ""No messages yet"".",owner-reported,high,"Session titles remained in the sidebar while message content was absent. | The author reports that clearing cache, reinstalling, and CLI resume did not restore the full history. | Local JSONL files were described as approximately 1 KB empty stubs, while project files remained unaffected.","The number of lost sessions is not explicit enough to use as a burden quantity. | Restartability, Evidence Chain, Re-entry Capacity, Context reconstruction, and Lost session are analyst mappings.","One update-and-transcript-loss worldline; later platform comments are supporting recurrence, not additional cases.",open,2026-07-25
EXT-INC-010,https://github.com/anthropics/claude-code/issues/70749,https://github.com/anthropics/claude-code/issues/70749,,github:anthropics/claude-code#70749; node_id=I_kwDON91aY88AAAABGpQfFg,github.com,public GitHub issue,2026-06-25,GitHub issue created_at; bounded event dated 2026-06-19 in the source,Generated-artifact maintenance,Claude Code,A multilingual repository generated `.po` and `.mo` artifacts from a translation-management source across nine languages.,Claude Code repeatedly repaired generated translation outputs directly instead of changing the source-of-truth generation path.,"A normal translation-management re-export erased the direct fixes in one operation, removing plural-form headers from nine languages and 1,325–1,800 keys per language.",Restartability | Trust | Evidence Chain,Manual cleanup | Revalidation,The operator had to identify that repeated artifact-level fixes were ephemeral and re-evaluate the repair path; the source does not quantify human time.,,"Identify generated files before editing, change the upstream translation source or generator, and validate persistence through a clean re-export.","Repair the source-of-truth translation workflow, regenerate all outputs, and verify headers and key counts survive a second clean export.","The source records the wipe and further artifact-level repair proposals, but no source-level repair and verified re-export restart is bound to this event.","Issue body section ""CLASS B — Ephemeral fixes to generated files"" and the event dated 2026-06-19.",owner-reported,medium,"The source states that generated translation files were directly edited across nine languages. | It records a 2026-06-19 re-export that removed plural-form headers and 1,325–1,800 keys per language. | The report says the same direct-fix pattern had occurred roughly five times before the bounded wipe event.",Only the 2026-06-19 generated-artifact wipe is counted; the broader report's other event classes are excluded. | Artifact and recurrence counts are not human-burden quantities. | What-broke and burden labels are analyst mappings.,One generated-artifact wipe worldline selected from a multi-incident report; repeated earlier direct fixes and other classes in the report are not counted separately.,open,2026-07-25
